Medicine name,EML section,Formulations,Indication,ATC codes,Combined with,Status,clean_name,match_aliases
BCG vaccine,Recommendations for all immunization programmes,All vaccines should comply with the WHO requirements for biological substances.,Need for immunization against tuberculosis,L03AX03,,Added,bcg vaccine,"['vaccine', 'bcg', 'bcg vaccine']"
Japanese encephalitis vaccine,Recommendations for certain regions,All vaccines should comply with the WHO requirements for biological substances.,Need for immunization against certain single viral diseases,"J07BA02, J07BA03",,Added,japanese encephalitis vaccine,"['encephalitis', 'japanese encephalitis vaccine', 'vaccine', 'japanese']"
Medicines for COVID-19,Medicines for COVID-19,Refer to WHO living guidelines,COVID-19,,,Added,medicines for covid-19,"['covid-19', 'medicines', 'for', 'medicines for covid-19']"
abacavir,Antiretrovirals > Nucleoside/Nucleotide reverse transcriptase inhibitors,Oral > Solid: 300 mg tablet (as sulfate),"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",J05AF06,,Added,abacavir,['abacavir']
abacavir + lamivudine,Fixed-dose combinations of antiretrovirals,"Oral > Solid: 120 mg (as sulfate) + 60 mg tablet (dispersible, scored)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",J05AR02,,Added,abacavir + lamivudine,"['lamivudine', 'abacavir + lamivudine', '+', 'abacavir']"
abiraterone,Hormones and antihormones,Oral > Solid: 250 mg; 500 mg,Malignant neoplasms of prostate,L02BX03,,Added,abiraterone,['abiraterone']
acamprosate calcium,Medicines for alcohol use disorders,Oral > Solid > tablet: 333 mg,Disorders due to use of alcohol,N07BB03,,Added,acamprosate calcium,"['acamprosate', 'acamprosate calcium', 'calcium']"
acetazolamide,Ophthalmological preparations > Miotics and antiglaucoma medicines,Oral > Solid: 250 mg,Primary open-angle glaucoma,S01EC01,,Added,acetazolamide,['acetazolamide']
acetic acid,"Ear, nose and throat medicines [c]",Local > Otological > drops: 2% in alcohol,Infectious diseases of external ear,S02AA10,,Added,acetic acid,"['acetic', 'acetic acid', 'acid']"
acetylcysteine,Antidotes and other substances used in poisonings > Specific,"Parenteral > General injections > IV: 200 mg per  mL in 10 mL ampoule
Oral > Liquid: 10%; 20%","Exposure to or harmful effects of undetermined intent of analgesics, antipyretics or nonsteroidal anti-inflammatory drugs",V03AB23,,Added,acetylcysteine,['acetylcysteine']
